Notes GS,Accept GS,Accept RG,Notes RG,Name,Article URL,Hunter,,Year,Modalities,Domain,Evaluation metrics,Humanities?,ASJC code,Resource URL (Benchmark + Dataset),Source,Source 2,Specific source
Ha diversi task di humanities ma nella lista humanities ha anche LAW,TRUE,TRUE,"vecchio, general purpose, include humanities.. ma ok",MMMLU,https://arxiv.org/abs/2009.03300,RG,,2024,,multilingual knowledge / question answering,,Yes,,https://huggingface.co/datasets/openai/MMMLU,Anthropic System Cards,,
Humanities presente con 2 macro categorie,TRUE,TRUE,"multimodale generalista, macrocategorie arte e design humanities in parte",MMMU-Pro,https://arxiv.org/abs/2409.02813,RG,,2024,,multimodal expert reasoning across subjects,,Yes,,https://github.com/MMMU-Benchmark/MMMU,Anthropic System Cards,ASREVIEW,
Estende MMLU su diversi linguaggi. Obiettivo trovare bias. ,TRUE,TRUE,multilingue incl inglese e humanities in parte,GMMLU,https://arxiv.org/abs/2412.03304,RG,,2024,,multilingual world knowledge / cultural localization,,Yes,,https://huggingface.co/datasets/CohereLabs/Global-MMLU,Anthropic System Cards,ASREVIEW,
Sono diverse domande in lingua Indic (e inglese per reference) c'è anche Humanities,TRUE,TRUE,"in parte umanistico, indic ma anche inglese riferimento",MILU,https://arxiv.org/abs/2411.02538,RG,,2024,,Indian multilingual understanding / culturally grounded QA,,Yes,,https://github.com/AI4Bharat/MILU,Anthropic System Cards,ASREVIEW,
Domande difficili che richiedono ricerca online (anche di arte,TRUE,TRUE,web ma includono arte storia etc,BrowseComp,https://arxiv.org/abs/2504.12516,RG,,2025,,web browsing agents / open-web search,,Yes,,https://github.com/openai/simple-evals/blob/main/browsecomp_eval.py,Anthropic System Cards,ASREVIEW,
"Dmande categorizzate come Arte, Musica, Storia",TRUE,TRUE,"fact short form, umanistico incluso",SimpleQA,https://openai.com/index/introducing-simpleqa/,RG,,2024,text,short-form factual question answering,"accuracy, hallucination rate",Yes,Multidisciplinary,https://github.com/openai/simple-evals,OpenAI System Cards,,
Basato su MMLU + altri task,TRUE,TRUE,factoid incluso storia e filosofia etc,LongFact,https://arxiv.org/abs/2403.18802,RG,,2024,text,long-form factuality / open-domain generation,"claim-level error rate, SAFE score",Yes,Language and Linguistics,https://github.com/google-deepmind/long-form-factuality,OpenAI System Cards,ASREVIEW,
fatti da wikipedia,TRUE,TRUE,biografie wiki con llm,FActScore,https://arxiv.org/abs/2305.14251,RG,,2023,text,long-form factuality / biography generation,atomic fact precision,Yes,Language and Linguistics,https://github.com/shmsw25/FActScore,OpenAI System Cards,ASREVIEW,
Ha humanities,TRUE,TRUE,"ottimo, generalista ma in target",Humanity's Last Exam,https://arxiv.org/abs/2501.14249,RG,,2025,,frontier general knowledge / multimodal expert questions,,Yes,,https://github.com/centerforaisafety/hle,Anthropic System Cards,ASREVIEW,
Dati di history,TRUE,TRUE,anche humanities,DeepSearchQA,https://arxiv.org/abs/2601.20975,RG,,2026,,deep research / multi-step information seeking,,Yes,,https://huggingface.co/datasets/google/deepsearchqa,Anthropic System Cards,ASREVIEW,
